b1237118x,aub_aco002343
b12356670,aub_aco002141
b12361641,aub_aco002258
b12363972,aub_aco002279
b12370629,aub_aco002333
b12348740,aub_aco002235:'v.1'|aub_aco002236:'v.2'
b12368337,aub_aco002305:'v.1'|aub_aco002306:'v.2'|aub_aco002307:'v.3'|aub_aco002308:'v.4'
b12362499,aub_aco002210:'v.1-3'
b12370058,aub_aco002330:'v.1'|aub_aco002331:'v.2'
b12357856,aub_aco002149
b12365737,aub_aco002290
b12361574,aub_aco002257
b12363005,aub_aco002268
b12363650,aub_aco002278
b12762970,aub_aco002159
b12605190,aub_aco002220
b12362050,aub_aco002207:'v.1'|aub_aco002208:'v.2'
b12367126,aub_aco002303
b12362591,aub_aco002267
b12369822,aub_aco002327
b1234820x,aub_aco002179
b12348880,aub_aco002190
b1236194x,aub_aco002261
b12362554,aub_aco002266
b12370654,aub_aco002334
b1235742x,aub_aco002145
b12357546,aub_aco002147
b12558412,aub_aco002156
b1286271x,aub_aco002225
b12360041,aub_aco002194
b1236325x,aub_aco002152
b12369779,aub_aco002326
b12349616,aub_aco002239
b12365695,aub_aco002288
b12365762,aub_aco002291:'v.1'
b12369536,aub_aco002322
b12357492,aub_aco002146
b12365890,aub_aco002228
b12363418,aub_aco002271
b1236440x,aub_aco002217:'v.1'
b12350011,aub_aco002243:'v.1'|aub_aco002244:'v.2'
b12364721,aub_aco002218:'v.1'
b12363170,aub_aco002216
b12359026,aub_aco002193:'v.1'
b1236910x,aub_aco002318
b12769319,aub_aco002165
b1235613x,aub_aco002255
b12349926,aub_aco002241
b12356104,aub_aco002246:'v.1-2'|aub_aco002247:'v.3-4'|aub_aco002248:'v.5-6'|aub_aco002249:'v.7-8'|aub_aco002250:'v.9-10'|aub_aco002251:'v.11-12'|aub_aco002252:'v.13-14'|aub_aco002253:'v.15-16'|aub_aco002254:'v.17-18'
b1284164x,aub_aco002224
b1236969x,aub_aco002324
b12348909,aub_aco002191
b12349884,aub_aco002240
b12348648,aub_aco002187
b12738165,aub_aco002221:'v.2'
b12348673,aub_aco002189
b12777493,aub_aco002172
b12768030,aub_aco002163
b12368519,aub_aco002312
b12368544,aub_aco002313
b12357339,aub_aco002144
b12363571,aub_aco002276
b12361768,aub_aco002260
b12363443,aub_aco002273
b12370836,aub_aco002337
b12777055,aub_aco002171
b12366900,aub_aco002300:'v.1'|aub_aco002301:'v.2'
b12368738,aub_aco002316
b12769174,aub_aco002164
b12358484,aub_aco002150
b12559556,aub_aco002157
b12364745,aub_aco002285
b12367461,aub_aco002304
b12371452,aub_aco002354
b12762982,aub_aco002160
b12362748,aub_aco002212
b12366584,aub_aco002297
b12371105,aub_aco002339
b12348454,aub_aco002183
b12362839,aub_aco002213:'v.1'
b12371154,aub_aco002340:'v.1'|aub_aco002341:'v.2-3'|aub_aco002342:'v.4-5'
b1236485x,aub_aco002219
b12368568,aub_aco002314
b12369172,aub_aco002319
b12785751,aub_aco002175:'v.1'|aub_aco002176:'v.2'
b12363480,aub_aco002274
b12365798,aub_aco002292
b12348119,aub_aco002177
b12369962,aub_aco002329
b12363431,aub_aco002272
b1236177x,aub_aco002205
b12364046,aub_aco002281
b12348338,aub_aco002180
b12434061,aub_aco002230
b12363595,aub_aco002277
b12364058,aub_aco002282
b12367102,aub_aco002302
b12362128,aub_aco002209
b12369366,aub_aco002320:'v.1'|aub_aco002321:'v.2'
b12363029,aub_aco002215
b12364149,aub_aco002283
b12360089,aub_aco002195
b12369615,aub_aco002323
b12371415,aub_aco002348:'v.1'|aub_aco002349:'v.1'|aub_aco002350:'v.1'|aub_aco002351:'v.2'|aub_aco002352:'v.2'|aub_aco002353:'v.2'
b12777511,aub_aco002173
b12346779,aub_aco002231
b1235546x,aub_aco002192
b12362013,aub_aco002262
b12362360,aub_aco002264
b12363339,aub_aco002269
b12361963,aub_aco002151
b13610508,aub_aco002227
b12364010,aub_aco002280
b12348193,aub_aco002178
b12360910,aub_aco002202
b12348065,aub_aco002233
b12368763,aub_aco002317
b12762945,aub_aco002158
b13181907,aub_aco002162
b12356906,aub_aco002143
b1236020x,aub_aco002197
b12348508,aub_aco002184
b12364496,aub_aco002284
b12366195,aub_aco002295
b12368453,aub_aco002311
b12773748,aub_aco002169:'v.1'
b12763019,aub_aco002161
b12365646,aub_aco002287
b12365853,aub_aco002293
b12371014,aub_aco002338
b12360478,aub_aco002198:'v.1'|aub_aco002199:'v.2'
b1236146x,aub_aco002203
b1236650x,aub_aco002296
b12360491,aub_aco002200
b1237023x,aub_aco002332
b12348387,aub_aco002182
b12356773,aub_aco002142
b12357662,aub_aco002148
b12348661,aub_aco002188
b12360156,aub_aco002196
b1237068x,aub_aco002335
b12523574,aub_aco002155
b12365713,aub_aco002289
b12356189,aub_aco002138
b12361653,aub_aco002259
b12356633,aub_aco002140:'v.1'
b12366699,aub_aco002298
b12771739,aub_aco002166:'v.1'|aub_aco002167:'v.2'|aub_aco002168:'v.3'
b12349938,aub_aco002242
b12348521,aub_aco002185
b12775010,aub_aco002170
b12368350,aub_aco002309
b12371385,aub_aco002347
b12356244,aub_aco002256
b12879095,aub_aco002226
b12362529,aub_aco002265
b12361550,aub_aco002204
b12369755,aub_aco002325
b12368052,aub_aco002153
b12370769,aub_aco002336
b12363352,aub_aco002229
b12485433,aub_aco002154
b12348363,aub_aco002181:'v.1'
b12371543,aub_aco002355:'v.1-5'|aub_aco002356:'v.6-10'|aub_aco002357:'v.11-15'|aub_aco002358:'v.16-20'|aub_aco002359:'v.21-25'|aub_aco002360:'v.26-30'
b12360892,aub_aco002201
b12361781,aub_aco002206
b1236261x,aub_aco002211
b12365609,aub_aco002286
b12348612,aub_aco002186
b12348442,aub_aco002234
b12366729,aub_aco002299
b12355628,aub_aco002245
b12774935,aub_aco002222
b12349355,aub_aco002237:'v.1'|aub_aco002238:'v.2'
b12783195,aub_aco002174:'v.1'
b12371312,aub_aco002345:'v.1'|aub_aco002346:'v.2'
b1234719x,aub_aco002232
b12362177,aub_aco002263
b12363406,aub_aco002270
b1236356x,aub_aco002275
b12371270,aub_aco002344
b12832728,aub_aco002223
b12365889,aub_aco002294
b12356530,aub_aco002139
b12368659,aub_aco002315
b12369871,aub_aco002328
